"frequency";"r S[6,6]";"i S[6,6]"
9.87588e+08;-0.586031;0.78221
9.88889e+08;-0.584417;0.783948
9.9019e+08;-0.582776;0.785645
9.91491e+08;-0.581108;0.787297
9.92793e+08;-0.579422;0.788911
9.94094e+08;-0.577718;0.79049
9.95395e+08;-0.575989;0.792044
9.96697e+08;-0.574251;0.793569
9.97998e+08;-0.572499;0.795065
9.99299e+08;-0.570733;0.796537
1.0006e+09;-0.568952;0.797983
1.0019e+09;-0.567165;0.799405
1.0032e+09;-0.565364;0.800808
1.0045e+09;-0.563557;0.802193
1.00581e+09;-0.561743;0.803561
1.00711e+09;-0.559921;0.804915
1.00841e+09;-0.558095;0.806256
1.00971e+09;-0.556262;0.807582
1.01101e+09;-0.554426;0.808896
1.01231e+09;-0.552577;0.810207
1.01361e+09;-0.550727;0.811502
1.01491e+09;-0.54887;0.812788
1.01622e+09;-0.547003;0.81406
1.01752e+09;-0.545127;0.815321
1.01882e+09;-0.543251;0.816579
1.02012e+09;-0.541367;0.817825
1.02142e+09;-0.53948;0.819065
1.02272e+09;-0.537585;0.820303
1.02402e+09;-0.535679;0.821532
1.02533e+09;-0.533774;0.822763
1.02663e+09;-0.53186;0.823983
1.02793e+09;-0.529942;0.8252
1.02923e+09;-0.528009;0.826409
1.03053e+09;-0.526076;0.827615
1.03183e+09;-0.52413;0.828813
1.03313e+09;-0.52218;0.830005
1.03443e+09;-0.520223;0.831194
1.03574e+09;-0.518262;0.832378
1.03704e+09;-0.516289;0.833564
1.03834e+09;-0.514309;0.834745
1.03964e+09;-0.512321;0.835918
1.04094e+09;-0.510322;0.837094
1.04224e+09;-0.508322;0.838265
1.04354e+09;-0.506313;0.839435
1.04484e+09;-0.504296;0.8406
1.04615e+09;-0.502267;0.841765
1.04745e+09;-0.500232;0.842919
1.04875e+09;-0.498186;0.844071
1.05005e+09;-0.496129;0.845221
1.05135e+09;-0.494066;0.846369
1.05265e+09;-0.491992;0.847517
1.05395e+09;-0.489908;0.848661
1.05526e+09;-0.48782;0.849798
1.05656e+09;-0.485718;0.850941
1.05786e+09;-0.483612;0.852069
1.05916e+09;-0.481495;0.853204
1.06046e+09;-0.47936;0.854333
1.06176e+09;-0.47723;0.855466
1.06306e+09;-0.475083;0.856587
1.06436e+09;-0.472924;0.857697
1.06567e+09;-0.470758;0.858808
1.06697e+09;-0.468582;0.859922
1.06827e+09;-0.466393;0.861027
1.06957e+09;-0.464198;0.86213
1.07087e+09;-0.461991;0.863241
1.07217e+09;-0.459772;0.864344
1.07347e+09;-0.457554;0.865449
1.07477e+09;-0.455311;0.866542
1.07608e+09;-0.453066;0.867635
1.07738e+09;-0.450813;0.868727
1.07868e+09;-0.448551;0.869814
1.07998e+09;-0.446259;0.870882
1.08128e+09;-0.44397;0.871967
1.08258e+09;-0.441671;0.873044
1.08388e+09;-0.439365;0.874118
1.08519e+09;-0.437033;0.875191
1.08649e+09;-0.434711;0.876255
1.08779e+09;-0.432356;0.877323
1.08909e+09;-0.430001;0.878391
1.09039e+09;-0.427631;0.879447
1.09169e+09;-0.425249;0.880518
1.09299e+09;-0.422862;0.881571
1.09429e+09;-0.420455;0.882626
1.0956e+09;-0.418044;0.883674
